PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REGION	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	SNPS	SNP_ID_CURRENT	CONTEXT	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	2p11.2	2	85567174	rs10187424-A	rs10187424	10187424	intron_variant	0.59	3E-15	14.5228787452803
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	2q37.3	2	237478585	rs7584330-C	rs7584330	7584330	intergenic_variant	0.22	3E-09	8.52287874528034
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	3q23	3	141383991	rs6763931-T	rs6763931	6763931	intron_variant	0.45	2E-08	7.69897000433602
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	3q26.2	3	170412314	rs10936632-A	rs10936632	10936632	intron_variant	0.52	7E-22	21.1549019599857
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	5p15.33	5	1279913	rs2242652-G	rs2242652	2242652	intron_variant	0.81	3E-24	23.5228787452803
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	5p12	5	44365443	rs2121875-G	rs2121875	2121875	intron_variant	0.34	4E-08	7.39794000867204
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	6p21.33	6	31150734	rs130067-G	rs130067	130067	missense_variant	0.21	3E-08	7.52287874528034
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	12q13.12	12	49282227	rs10875943-C	rs10875943	10875943	regulatory_region_variant	0.31	7E-12	11.1549019599857
21743467	Kote-Jarai Z	2011-07-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21743467	Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.	Prostate cancer	6,621 European ancestry cases, 6,939 European ancestry controls	Xq12	X	67801708	rs5919432-A	rs5919432	5919432	intergenic_variant	0.81	1E-08	8
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	1q23.1	1	158962765	rs1101999-?	rs1101999	1101999	intron_variant	NR	4E-09	8.39794000867204
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2q12.1	2	102337157	rs3771180-?	rs3771180	3771180	5_prime_UTR_variant	NR	2E-15	14.698970004336
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	5q22.1	5	111066174	rs1837253-?	rs1837253	1837253	intergenic_variant	NR	1E-14	14
